title,author,isbn,publisher,price_cents,category,total_quantity
DEMO图书01：Python入门,DEMO作者01,978-DEMO-000001,DEMO出版社,3900,DEMO技术,2
DEMO图书02：数据库基础,DEMO作者02,978-DEMO-000002,DEMO出版社,4200,DEMO技术,1
DEMO图书03：软件工程,DEMO作者03,978-DEMO-000003,DEMO出版社,4500,DEMO技术,3
DEMO图书04：算法练习,DEMO作者04,978-DEMO-000004,DEMO出版社,3600,DEMO技术,2
DEMO图书05：数据结构,DEMO作者05,978-DEMO-000005,DEMO出版社,4100,DEMO技术,2
DEMO图书06：网络原理,DEMO作者06,978-DEMO-000006,DEMO出版社,3800,DEMO技术,1
DEMO图书07：操作系统,DEMO作者07,978-DEMO-000007,DEMO出版社,4300,DEMO技术,2
DEMO图书08：产品设计,DEMO作者08,978-DEMO-000008,DEMO出版社,3300,DEMO管理,2
DEMO图书09：项目管理,DEMO作者09,978-DEMO-000009,DEMO出版社,3500,DEMO管理,1
DEMO图书10：经济学原理,DEMO作者10,978-DEMO-000010,DEMO出版社,4800,DEMO经济,2
DEMO图书11：统计学,DEMO作者11,978-DEMO-000011,DEMO出版社,4000,DEMO经济,1
DEMO图书12：文学选读,DEMO作者12,978-DEMO-000012,DEMO出版社,2800,DEMO文学,2
DEMO图书13：历史读本,DEMO作者13,978-DEMO-000013,DEMO出版社,3000,DEMO人文,1
DEMO图书14：心理学,DEMO作者14,978-DEMO-000014,DEMO出版社,3700,DEMO人文,2
DEMO图书15：科学通识,DEMO作者15,978-DEMO-000015,DEMO出版社,3200,DEMO科学,1
